<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
9040.HK,D,20240612,000000,3.286,3.286,3.286,3.286,0,0
9040.HK,D,20240613,000000,3.322,3.322,3.312,3.322,40000,0
9040.HK,D,20240614,000000,3.324,3.324,3.32,3.32,10000,0
9040.HK,D,20240617,000000,3.308,3.308,3.308,3.308,0,0
9040.HK,D,20240618,000000,3.302,3.302,3.302,3.302,0,0
9040.HK,D,20240619,000000,3.33,3.362,3.33,3.362,20000,0
9040.HK,D,20240620,000000,3.344,3.344,3.344,3.344,0,0
9040.HK,D,20240621,000000,3.298,3.298,3.298,3.298,0,0
9040.HK,D,20240624,000000,3.294,3.294,3.294,3.294,0,0
9040.HK,D,20240625,000000,3.29,3.29,3.29,3.29,0,0
9040.HK,D,20240626,000000,3.29,3.29,3.29,3.29,0,0
9040.HK,D,20240627,000000,3.236,3.236,3.236,3.236,0,0
9040.HK,D,20240628,000000,3.234,3.234,3.234,3.234,0,0
9040.HK,D,20240702,000000,3.232,3.232,3.232,3.232,0,0
9040.HK,D,20240703,000000,3.23,3.268,3.23,3.268,56000,0
9040.HK,D,20240704,000000,3.284,3.284,3.284,3.284,0,0
9040.HK,D,20240705,000000,3.292,3.292,3.266,3.266,26000,0
9040.HK,D,20240708,000000,3.234,3.234,3.22,3.222,20000,0
9040.HK,D,20240709,000000,3.23,3.23,3.23,3.23,0,0
9040.HK,D,20240710,000000,3.23,3.23,3.23,3.23,0,0
9040.HK,D,20240711,000000,3.268,3.288,3.268,3.288,41000,0
9040.HK,D,20240712,000000,3.348,3.348,3.348,3.348,0,0
9040.HK,D,20240715,000000,3.314,3.314,3.314,3.314,0,0
9040.HK,D,20240716,000000,3.274,3.274,3.268,3.268,10200,0
9040.HK,D,20240717,000000,3.266,3.266,3.266,3.266,0,0
9040.HK,D,20240718,000000,3.26,3.26,3.26,3.26,0,0
9040.HK,D,20240719,000000,3.196,3.196,3.196,3.196,0,0
9040.HK,D,20240722,000000,3.236,3.236,3.236,3.236,0,0
9040.HK,D,20240723,000000,3.202,3.202,3.202,3.202,0,0
9040.HK,D,20240724,000000,3.176,3.176,3.176,3.176,0,0
9040.HK,D,20240725,000000,3.124,3.124,3.124,3.124,0,0
9040.HK,D,20240726,000000,3.124,3.124,3.124,3.124,0,0
9040.HK,D,20240729,000000,3.142,3.142,3.142,3.142,0,0
9040.HK,D,20240730,000000,3.104,3.104,3.104,3.104,0,0
9040.HK,D,20240731,000000,3.178,3.178,3.178,3.178,0,0
9040.HK,D,20240801,000000,3.168,3.168,3.168,3.168,2000,0
9040.HK,D,20240802,000000,3.104,3.104,3.104,3.104,100,0
9040.HK,D,20240805,000000,3.084,3.084,3.084,3.084,0,0
9040.HK,D,20240806,000000,3.084,3.084,3.084,3.084,0,0
9040.HK,D,20240807,000000,3.112,3.112,3.112,3.112,0,0
9040.HK,D,20240808,000000,3.152,3.152,3.122,3.122,70000,0
9040.HK,D,20240809,000000,3.174,3.174,3.172,3.174,70800,0
9040.HK,D,20240812,000000,3.154,3.178,3.154,3.172,90000,0
9040.HK,D,20240813,000000,3.182,3.182,3.182,3.182,0,0
9040.HK,D,20240814,000000,3.172,3.172,3.172,3.172,0,0
9040.HK,D,20240815,000000,3.168,3.168,3.168,3.168,0,0
9040.HK,D,20240816,000000,3.196,3.212,3.196,3.212,200,0
9040.HK,D,20240819,000000,3.238,3.238,3.238,3.238,0,0
9040.HK,D,20240820,000000,3.216,3.216,3.214,3.216,100,0
9040.HK,D,20240821,000000,3.204,3.204,3.204,3.204,0,0
9040.HK,D,20240822,000000,3.212,3.232,3.212,3.232,10000,0
